Face 1, [Node 3500] nan nan nan nan nan nan nan nan 

  Angle       Time     IS     IA     IP     AS     AA     AP   IS+IA   IS+IA+IP   AS+AA   AS+AA+AP
 162.00   38807.94   659.57   0.00   0.00   65.96   0.00   0.00   659.57     659.57   65.96      65.96
 180.00   43119.93   659.57   0.00   0.00   65.96   0.00   0.00   659.57     659.57   65.96      65.96
 198.00   47431.93   659.59   0.05   0.56   65.96   0.01   0.37   659.64     660.19   65.96      66.33
 216.00   51743.92   659.62   0.03   0.71   65.96   0.00   0.47   659.65     660.37   65.97      66.44
 234.00   56055.92   659.67   0.02   1.70   65.97   0.00   1.12   659.68     661.39   65.97      67.09
 252.00   60367.91   659.72   0.00   2.15   65.97   0.00   1.42   659.72     661.87   65.97      67.39
 270.00   64679.90   659.78   0.00   2.77   65.98   0.00   1.83   659.78     662.55   65.98      67.80
 288.00   68991.90   659.83   0.01   3.18   65.98   0.00   2.10   659.85     663.03   65.98      68.08
 306.00   73303.89   659.88   0.09   3.33   65.99   0.01   2.20   659.97     663.30   66.00      68.19
 324.00   77615.88   659.91   0.37   3.50   65.99   0.04   2.31   660.28     663.78   66.03      68.34
 342.00   81927.88   659.93   0.70   2.68   65.99   0.07   1.77   660.63     663.31   66.06      67.83
 360.00   86239.87   659.93   0.91   1.83   65.99   0.09   1.20   660.84     662.66   66.08      67.29
                                                                                                      
Average              659.75   0.26   1.29   65.98   0.03   0.85   660.01     661.31   66.00      66.86
