Temperature [°C],Yield Strength [Pa]
-250.14705882352942,732666666.6666666
-207.5,546333333.3333333
-169.11764705882354,429333333.3333333
-135,355666666.6666666
-75.29411764705884,282000000
1.4705882352940876,260333333.3333333
108.08823529411762,238666666.66666666
206.1764705882353,221333333.3333333
321.32352941176475,199666666.66666666
457.7941176470588,182333333.3333333
594.2647058823529,165000000
739.2647058823529,139000000
867.2058823529412,113000000
