Temperature [°C],Yield Strength [Pa]
-252.63157894736844,683333333.3333333
-224.2914979757085,558333333.3333333
-171.65991902834008,458333333.3333333
-94.73684210526315,362500000
-1.6194331983805625,279166666.6666666
115.78947368421052,208333333.3333333
225.1012145748988,162500000
370.8502024291498,129166666.66666666
516.5991902834008,116666666.66666667
682.591093117409,104166666.66666667
808.0971659919028,91666666.66666667
