Temperature [°C],Young's Modulus [Pa]
-196.15384615384616,208823529411.7647
-34.61538461538461,198823529411.7647
57.69230769230768,192352941176.47058
146.1538461538462,186470588235.29413
400,168235294117.64706
550,155882352941.17645
715.3846153846154,138235294117.64706
811.5384615384615,124705882352.94118
