Temperature [°C],Young's Modulus [Pa]
-89.69696969696969,202333333333.3333
-176.36363636363637,207641025641.02566
-6.969696969696969,197025641025.64102
166.36363636363637,185230769230.76922
335.75757575757575,173435897435.89744
493.33333333333337,161641025641.02563
623.3333333333334,150435897435.89744
721.8181818181819,139820512820.51283
832.1212121212122,125076923076.92307
