Temperature [°C],Specific Heat [J/(kg*K)]
-260.6060606060606,8.695652173913047
-231.06060606060606,100
-196.5909090909091,200
-152.27272727272728,300
-122.72727272727275,360.8695652173913
-58.71212121212122,434.78260869565213
10.227272727272691,473.9130434782609
157.95454545454544,495.65217391304344
418.9393939393939,517.391304347826
655.3030303030303,565.2173913043478
871.9696969696968,613.0434782608695
960.6060606060605,626.0869565217391
1029.5454545454545,630.4347826086956
