Temperature [°C],Thermal Expansion Coefficient [1/K]
-256.9169960474308,10.72992700729927e-6
-212.64822134387353,12.116788321167883e-6
-168.37944664031622,13.576642335766422e-6
-73.51778656126483,14.89051094890511e-6
255.33596837944663,16.78832116788321e-6
464.03162055335963,17.883211678832115e-6
698.0237154150198,18.905109489051092e-6
944.6640316205533,19.854014598540147e-6
1235.5731225296443,20.729927007299267e-6
1425.296442687747,21.16788321167883e-6
