Temperature [°C],Specific Heat [J/(kg*K)]
-260.29411764705884,8.823529411764707
-229.41176470588235,101.47058823529413
-194.11764705882354,202.94117647058826
-150,300
-101.47058823529412,370.5882352941177
-26.470588235294088,445.5882352941177
44.117647058823536,485.29411764705884
158.82352941176475,516.1764705882354
300,547.0588235294118
423.52941176470597,573.529411764706
569.1176470588235,595.5882352941177
723.529411764706,617.6470588235295
895.5882352941178,639.7058823529412
