Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.01,0,0.0896990987261338561232428906,0.0896990987261339,0.0896990987261339,0.0896990987261339,0.0896990987261339,0,0.0000000000000,0.0000000000000,0,0.0000114302115,-104481043.4698164871664885641,-104481043.4698164871664885641,7105363
0.02,0,0.0831684842150156380429480412,0.0831684842150156,0.0831684842150156,0.0831684842150156,0.0831684842150156,0,0.0000000000000,0.0000000000000,0,0.0000114302115,-104481043.4698164871664885641,-104481043.4698164871664885641,14210730
0.03,0,0.0791064337538158109213627458,0.0791064337538158,0.0791064337538158,0.0791064337538158,0.0791064337538158,0,0.0000000000000,0.0000000000000,0,0.0000114302115,-104481043.4698164871664885641,-104481043.4698164871664885641,21316090
0.04,0,0.0762358273519943168679130330,0.0762358273519943,0.0762358273519943,0.0762358273519943,0.0762358273519943,0,0.0000000000000,0.0000000000000,0,0.0000114302115,-104481043.4698164871664885641,-104481043.4698164871664885641,28421450
0.05,0,0.0740425614719990840387407200,0.0740425614719991,0.0740425614719991,0.0740425614719991,0.0740425614719991,0,0.0000000000000,0.0000000000000,0,0.0000114302115,-104481043.4698164871664885641,-104481043.4698164871664885641,35526820
0.06,0,0.0722811666822926173943594462,0.0722811666822926,0.0722811666822926,0.0722811666822926,0.0722811666822926,0,0.0000000000000,0.0000000000000,0,0.0000114302115,-104481043.4698164871664885641,-104481043.4698164871664885641,42632180
0.07,0,0.0708171460157836268182118171,0.0708171460157836,0.0708171460157836,0.0708171460157836,0.0708171460157836,0,0.0000000000000,0.0000000000000,0,0.0000114302115,-104481043.4698164871664885641,-104481043.4698164871664885641,49737540
0.08,0,0.0695693866234529295211747271,0.0695693866234529,0.0695693866234529,0.0695693866234529,0.0695693866234529,0,0.0000000000000,0.0000000000000,0,0.0000114302115,-104481043.4698164871664885641,-104481043.4698164871664885641,56842900
0.09,0,0.0684854318548290400457942268,0.068485431854829,0.068485431854829,0.068485431854829,0.068485431854829,0,0.0000000000000,0.0000000000000,0,0.0000114302115,-104481043.4698164871664885641,-104481043.4698164871664885641,63948270
0.10,0,0.0675295204583422388433813602,0.0675295204583422,0.0675295204583422,0.0675295204583422,0.0675295204583422,0,0.0000000000000,0.0000000000000,0,0.0000114302115,-104481043.4698164871664885641,-104481043.4698164871664885641,71053630
0.11,0,0.0666762355980369643735474566,0.066676235598037,0.066676235598037,0.066676235598037,0.066676235598037,0,0.0000000000000,0.0000000000000,0,0.0000114302115,-104481043.4698164871664885641,-104481043.4698164871664885641,78158990
0.12,0,0.0659069037245409550034814654,0.065906903724541,0.065906903724541,0.065906903724541,0.065906903724541,0,0.0000000000000,0.0000000000000,0,0.0000114302115,-104481043.4698164871664885641,-104481043.4698164871664885641,85264360
0.13,0,0.0652074276320209383334516972,0.065207427632021,0.065207427632021,0.065207427632021,0.065207427632021,0,0.0000000000000,0.0000000000000,0,0.0000114302115,-104481043.4698164871664885641,-104481043.4698164871664885641,92369720
0.14,0,0.0645669125433227436574489249,0.0645669125433228,0.0645669125433228,0.0645669125433228,0.0645669125433228,0,0.0000000000000,0.0000000000000,0,0.0000114302115,-104481043.4698164871664885641,-104481043.4698164871664885641,99475090
0.15,0,0.0639767756472183778956497794,0.0639767756472184,0.0639767756472184,0.0639767756472184,0.0639767756472184,0,0.0000000000000,0.0000000000000,0,0.0000114302115,-104481043.4698164871664885641,-104481043.4698164871664885641,106580500
0.16,0,0.0634301556155788366829624029,0.0634301556155788,0.0634301556155788,0.0634301556155788,0.0634301556155788,0,0.0000000000000,0.0000000000000,0,0.0000114302115,-104481043.4698164871664885641,-104481043.4698164871664885641,113685800
0.17,0,0.0629214502946567997147942343,0.0629214502946568,0.0629214502946568,0.0629214502946568,0.0629214502946568,0,0.0000000000000,0.0000000000000,0,0.0000114302115,-104481043.4698164871664885641,-104481043.4698164871664885641,120791200
0.18,0,0.0624460761868377335946794559,0.0624460761868377,0.0624460761868377,0.0624460761868377,0.0624460761868377,0,0.0000000000000,0.0000000000000,0,0.0000114302115,-104481043.4698164871664885641,-104481043.4698164871664885641,127896500
0.19,0,0.0620001924260219860094464804,0.062000192426022,0.062000192426022,0.062000192426022,0.062000192426022,0,0.0000000000000,0.0000000000000,0,0.0000114302115,-104481043.4698164871664885641,-104481043.4698164871664885641,135001900
0.20,0,0.0615805876415649653097276808,0.061580587641565,0.061580587641565,0.061580587641565,0.061580587641565,0,0.0000000000000,0.0000000000000,0,0.0000114302115,-104481043.4698164871664885641,-104481043.4698164871664885641,142107300
0.21,0,0.0611845368257925979669147052,0.0611845368257926,0.0611845368257926,0.0611845368257926,0.0611845368257926,0,0.0000000000000,0.0000000000000,0,0.0000114302115,-104481043.4698164871664885641,-104481043.4698164871664885641,149212600
0.22,0,0.0608096935028073058360798725,0.0608096935028073,0.0608096935028073,0.0608096935028073,0.0608096935028073,0,0.0000000000000,0.0000000000000,0,0.0000114302115,-104481043.4698164871664885641,-104481043.4698164871664885641,156318000
0.23,0,0.0604540512547741886660458965,0.0604540512547742,0.0604540512547742,0.0604540512547742,0.0604540512547742,0,0.0000000000000,0.0000000000000,0,0.0000114302115,-104481043.4698164871664885641,-104481043.4698164871664885641,163423400
0.24,0,0.0601158694360426798673225832,0.0601158694360427,0.0601158694360427,0.0601158694360427,0.0601158694360427,0,0.0000000000000,0.0000000000000,0,0.0000114302115,-104481043.4698164871664885641,-104481043.4698164871664885641,170528700
